cms_omds_lb.CMS_LHC_BEAM_COND.BRM_VACSUMMARY.VGPB_183_1R5
11076
ROW 	WEIGHT 	DIPTIME 	VGPB_183_1R5
1 	1 	1317427200 	.000000000021
2 	1 	1317427301 	.000000000021
3 	1 	1317427401 	.000000000021
4 	1 	1317427501 	.00000000002
5 	1 	1317427601 	.00000000002
6 	1 	1317427701 	.000000000021
7 	1 	1317427802 	.000000000021
8 	1 	1317427902 	.000000000021
9 	1 	1317428002 	.00000000002
10 	1 	1317428102 	.00000000002
11 	1 	1317428202 	.000000000021
12 	1 	1317428303 	.000000000021
13 	1 	1317428403 	.000000000021
14 	1 	1317428503 	.00000000002
15 	1 	1317428603 	.000000000021
16 	1 	1317428703 	.000000000021
17 	1 	1317428804 	.000000000021
18 	1 	1317428904 	.000000000021
19 	1 	1317429004 	.00000000002
20 	1 	1317429104 	.00000000002
21 	1 	1317429204 	.00000000002
22 	1 	1317429305 	.00000000002
23 	1 	1317429405 	.00000000002
24 	1 	1317429505 	.00000000002
25 	1 	1317429605 	.00000000002
26 	1 	1317429706 	.00000000002
27 	1 	1317429806 	.00000000002
28 	1 	1317429906 	.000000000021
29 	1 	1317430006 	.000000000021
30 	1 	1317430106 	.00000000002
31 	1 	1317430207 	.00000000002
32 	1 	1317430307 	.00000000002
33 	1 	1317430407 	.000000000021
34 	1 	1317430507 	.00000000002
35 	1 	1317430607 	.00000000002
36 	1 	1317430708 	.00000000002
37 	1 	1317430808 	.00000000002
38 	1 	1317430908 	.00000000002
39 	1 	1317431008 	.00000000002
40 	1 	1317431108 	.000000000021
41 	1 	1317431209 	.00000000002
42 	1 	1317431309 	.000000000021
43 	1 	1317431409 	.000000000021
44 	1 	1317431509 	.00000000002
45 	1 	1317431609 	.00000000002
46 	1 	1317431710 	.00000000002
47 	1 	1317431810 	.000000000021
48 	1 	1317431910 	.000000000021
49 	1 	1317432010 	.00000000002
50 	1 	1317432110 	.000000000021
51 	1 	1317432211 	.00000000002
52 	1 	1317432311 	.000000000021
53 	1 	1317432411 	.00000000002
54 	1 	1317432511 	.00000000002
55 	1 	1317432611 	.00000000002
56 	1 	1317432712 	.00000000002
57 	1 	1317432812 	.00000000002
58 	1 	1317432912 	.00000000002
59 	1 	1317433012 	.00000000002
60 	1 	1317433112 	.00000000002
61 	1 	1317433213 	.00000000002
62 	1 	1317433313 	.00000000002
63 	1 	1317433413 	.00000000002
64 	1 	1317433513 	.00000000002
65 	1 	1317433613 	.00000000002
66 	1 	1317433714 	.00000000002
67 	1 	1317433814 	.00000000002
68 	1 	1317433914 	.00000000002
69 	1 	1317434014 	.000000000021
70 	1 	1317434114 	.000000000021
